33,Ingles,K1,Clase 5,"Tema: Animales del mar, partes del cuerpo y cara, Letra U, Número 15, canción de las vocales.",https://www.youtube.com/watch?v=Hp_fK0ZQ9Bo,2020-05-10,#
34,Ingles,K1,Clase 6,"Tema: rodilla, pluma, emociones: feliz, triste, Número 16, canción de los insectos parte 2",https://www.youtube.com/watch?v=h_XTnhefu3M,2020-05-10,#
28,Ingles,K1,Clase 1,"Tema: Partes de la cara y el cuerpo, animales, los saludos, números del 1 al 10",https://www.youtube.com/watch?v=3jospiKbMhM,2020-05-10,#
29,Ingles,K1,Clase 2,"Tema: Vocal A, What color is the sky?, Días de la semana, números del 1 al 10, letra A, número 11.",https://www.youtube.com/watch?v=kanejHoWNbg,2020-05-10,#
30,Ingles,K1,Clase 3,"Grupo: Kinder 1 Tema: Animales, partes de la cara, letra E, frutas, verduras, Número 13.",https://www.youtube.com/watch?v=QH7-I2Ae0_s,2020-05-10,#
31,Ingles,K1,Clase 4,"Tema: Animales, partes de la cara y cuerpo, letra I, número 13, grande y pequeño, saludos.",https://www.youtube.com/watch?v=CJjs5A2bdUk,2020-05-10,#
42,Grado,K2,Clase 27 Abril,K2 clase del 27 de abril,https://www.youtube.com/watch?v=K_KIqCJDixA&feature=youtu.be,2020-05-10,#
35,Ingles,K1,Clase 7,"Tema: avión, libreta, emociones: enojado, soñoliento, Número 17, canción de las emociones, canción de las figuras y colores.",https://www.youtube.com/watch?v=zGgzk4IrdMU,2020-05-10,#
27,Compu,K1,Tipos de Puertos,"Computación Preescolar, Prof: Edgar Suárez Tema:Tipos de Puertos",https://www.youtube.com/watch?v=CmuarKqNZgQ&feature=youtu.be,2020-05-10,#
26,Compu,K1,Memorias,Computación - Preescolar Prof: Edgar Suárez Tema: Memorias,https://www.youtube.com/watch?v=cDuTXA1eZgc&feature=youtu.be,2020-05-10,#
36,Artes,K1,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
37,Artes,K1,Sentido del Olfato,El sentido del Olfato,https://www.youtube.com/watch?v=EzJ4-4vu838&feature=youtu.be,2020-05-10,#
38,Tae,K1,Tema 1,Video Sobre diferentes Actividades Físicas (Estos Videos Se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
39,Grado,K2,Clase 1,se conllevan las actividades a realizar y las instruacciones que se toman,https://www.youtube.com/watch?v=4OLXt46LElA&feature=youtu.be,2020-05-10,#
40,Grado,K2,Clase 2 (Jueves),K2 clase miércoles Claudia Alvarez,https://www.youtube.com/watch?v=jxC2wQM-ejM&feature=youtu.be,2020-05-10,#
43,Grado,K2,Video Clase 29 de Abril,K2 Clse del 29 de Abril,https://www.youtube.com/watch?v=jxC2wQM-ejM&feature=youtu.be,2020-05-10,#
44,Grado,K2,Clase 4 de Mayo,K2 clase del 4 de Mayo,https://www.youtube.com/watch?v=8m6YlCrBtH4&feature=youtu.be,2020-05-10,#
45,Grado,K2,"Actividades del 4, 6 y 7 de Mayo",https://drive.google.com/file/d/1LVBqtH3SCBKF9xe6yAR6VEX0-Jf-70lZ/view,https://drive.google.com/file/d/1ZQa61PS2l7YFhVd3fxGEdnv9sz2JJu3h/view,2020-05-10,#
47,Grado,K2,Clase 7 de Mayo (2da parte),K2 clase del 7 (2da) de Mayo,https://www.youtube.com/watch?v=qo3Y3TaL3hk&feature=youtu.be,2020-05-10,#
46,Grado,K2,Clase 7 de Mayo,K2 clase del 7 de Mayo,https://www.youtube.com/watch?v=Li5n6fxqNW4&feature=youtu.be,2020-05-10,#
48,Grado,K2,Clase 6 de Mayo,K2 clase del 7 de Mayo,https://www.youtube.com/watch?v=kDEykac3ZS4&feature=youtu.be,2020-05-10,#
49,Ingles,K2,Clase 1,"Tema: Vocales, Números del 1 al 10, los saludos",https://www.youtube.com/watch?v=Ao2rdya7AH4,2020-05-10,#
53,Ingles,K2,Clase 5,"Tema: Números 19 y 20, arriba y abajo, objetos de escuela, canción de los insectos, canción de los insectos parte 2.",https://www.youtube.com/watch?v=poMMzkDhcDM,2020-05-10,#
51,Ingles,K2,Clase 3,"Tema: Emociones, Partes del cuerpo y cara, Números 13 y 14, ¿Qué color es?, Grande y Pequeño.",https://www.youtube.com/watch?v=CN_PyCdlyiI,2020-05-10,#
52,Ingles,K2,Clase 4,"Tema: Emociones, Partes del cuerpo, Números 15 y 16, Largo y corto, colores.",https://www.youtube.com/watch?v=f1F2bfutg20,2020-05-10,#
50,Ingles,K2,Clase 2,"Tema: Objetos de escuela, , numero 11 y 12, What is your name?, números del 1 al 10, colores",https://www.youtube.com/watch?v=BFpRG_jfHuk,2020-05-10,#
55,Ingles,K2,Clase 7,"Tema: Acciones: observar, leer, escribir, escuchar, abrir, cerrar, canción de las emociones, canción abrir y cerrar.",https://www.youtube.com/watch?v=mz5GZNj2jvU,2020-05-10,#
54,Ingles,K2,Clase 6,"Tema: Acciones: pegar, cortar, dibujar, pintar, contar, trazar, canción del alfabeto, canción del autobús.",https://www.youtube.com/watch?v=DbZBAAFK7Dc,2020-05-10,#
56,Artes,K2,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
57,Artes,K2,Sonido de la Naturaleza,Sonido de la Naturaleza,https://www.youtube.com/watch?v=wVrcZwJHPZI&feature=youtu.be,2020-05-10,#
58,Tae,K2,Actividad 1,Video Sobre diferentes Actividades Físicas (Estos Videos Se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
59,Compu,K2,Memorias,Computación - Preescolar Prof: Edgar Suárez Tema: Memorias,https://www.youtube.com/watch?v=cDuTXA1eZgc&feature=youtu.be,2020-05-10,#
60,Compu,K2,Tipos de Puertos,Computación Preescolar  Edgar Suárez  Tipos de Puertos,https://www.youtube.com/watch?v=CmuarKqNZgQ&feature=youtu.be,2020-05-10,#
61,Grado,K3,Clase en Línea,"La profesora Amanda Montero, ha puesto a su disposición, el sigueinte video con actividades en línea",https://www.youtube.com/watch?v=_ZtLZ8h5AU4&feature=youtu.be,2020-05-10,#
62,Grado,K3,Clase en Línea 2,"La profesora Amanda Montero, ha puesto a su disposición, el sigueinte video con actividades en línea",https://www.youtube.com/watch?v=_ZtLZ8h5AU4&feature=youtu.be,2020-05-10,#
63,Grado,K3,Clase en Línea 3,"La profesora Amanda Montero, ha puesto a su disposición, el sigueinte video con actividades en línea",https://www.youtube.com/watch?v=t-Y2b93ceaE&feature=youtu.be,2020-05-10,#
64,Grado,K3,Clase en Línea 4,"La profesora Amanda Montero, ha puesto a su disposición, el sigueinte video con actividades en línea",https://www.youtube.com/watch?v=obfgCgSoJHI&feature=youtu.be,2020-05-10,#
65,Grado,K3,Planeación de Actividades,https://drive.google.com/file/d/1yTeqVCBFlQISKyvRWEIslUEqtOrBCdIf/view?ts=5ea6623c,https://drive.google.com/file/d/13KQAMNZAcJlYCzTfR9NQisJBK24-8EaT/view?ts=5ea661c1,2020-05-10,#
67,Grado,K3,Clase 6 de Mayo,Clase 6 de Mayo K3,https://www.youtube.com/watch?v=6JpJn4Fbld0&feature=youtu.be,2020-05-10,#
68,Compu,K3,Memorias,Computación - Preescolar Prof: Edgar Suárez Tema: Memorias,https://www.youtube.com/watch?v=cDuTXA1eZgc&feature=youtu.be,2020-05-10,#
70,Ingles,K3,Clase 1,"Tema: Transportes, Opuestos: rápido y lento, los saludos.",https://www.youtube.com/watch?v=VyKZ6_d_x5E,2020-05-10,#
71,Ingles,K3,Clase 2,"Tema: Opuestos, partes de la cara y cuerpo, letra B, número, colores.",https://www.youtube.com/watch?v=Dd52Gh4hSqE,2020-05-10,#
72,Ingles,K3,Clase 3,"Grupo: Kinder 3 Tema: Preposiciones dentro y encima, juguetes, números del 11 al 20, frutas.",https://www.youtube.com/watch?v=76cMWblCv58,2020-05-10,#
73,Ingles,K3,Clase 4,"Tema: Acciones, números ordinales, partes del cuerpo, letra D, verduras.",https://www.youtube.com/watch?v=0kLTrzw6rZw,2020-05-10,#
74,Ingles,K3,Clase 5,"Tema: Comida, abrir y cerrar, mes de Enero, Letra F y G, canción de los insectos.",https://www.youtube.com/watch?v=KLeh3JBHtZY,2020-05-10,#
75,Ingles,K3,Clase 6,"Tema: Acciones: amar, bailar, los lugares, mes de Febrero.  Letra H e I, canción de los insectos parte 2, ¿A dónde vas? Canción lugares. br",https://www.youtube.com/watch?v=ZP294ptiBD4,2020-05-10,#
76,Grado,K1,Clase 7,"Tema: Acciones: jalar, empujar, las estaciones del año, mes de Marzo, Letra J y K, canción del autobús, canción del alfabeto.",https://www.youtube.com/watch?v=fYQvBbZrPPo,2020-05-10,#
77,Artes,K3,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
78,Artes,K3,Garabateo,Garabateo,https://www.youtube.com/watch?v=Jt5t281HdFY&feature=youtu.be,2020-05-10,#
79,Tae,K3,Actividad 1,Video Sobre diferentes Actividades Físicas (Estos Videos Se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
80,Grado,1ro,Clases en Línea,"No hay Material Disponible, contacte con el profesor@",#,2020-05-10,#
81,Ingles,1ro,Ingreso al Classroom,Clave para accesar a la clase: q5gjg46,https://edu.google.com/intl/es-419/products/classroom/?modal_active=none,2020-05-10,#
82,Ingles,1ro,Lista de Videos,Se adjunta la lista de videos de Youtube que Teacher Gaby ha creado desde Classroom,https://www.youtube.com/playlist?list=PLqKajQNuMdXgDdEHevZ1zipT-J3nVS-ns,2020-05-10,#
83,Compu,1ro,Clase 1,"(1,2,3) Introduccion Excel",https://drive.google.com/file/d/12NVHNqD6Nv5hAK50qeunsaX3g4KGDBbI/view,2020-05-10,#
84,Compu,1ro,Clase 2,"(1,2,3) Sumas y restas en excel",https://www.youtube.com/watch?v=ZJJ1SBhiYBg&feature=youtu.be,2020-05-10,#
85,Compu,1ro,Clase 3,"Clase 3: Excel, resolucion de problemas",https://www.youtube.com/watch?v=tOK6ZBqiiMM&feature=youtu.be,2020-05-10,#
86,Artes,1ro,Técnica de Mosaico,Técnica de Mosaico,https://www.youtube.com/watch?v=sGFd6BAmAe4,2020-05-10,#
87,Artes,1ro,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
90,Tae,1ro,Actividad 1,Video Sobre diferentes Actividades Físicas (Estos Videos Se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
91,Grado,2do,Clases en Línea,Gochi Sandoval Lesly Español 2 grado Tema: Diversidad Lingüística en México,https://www.youtube.com/watch?v=h--AiKMZtLI&feature=youtu.be,2020-05-10,#
92,Grado,2do,Archivo de Actividades,Plan de Actividades de 2° grado,https://drive.google.com/file/d/1HKWnnAg12gZDsuhKQBv53o_2ROLFvk7X/view,2020-05-10,#
93,Grado,2do,Archivo de Actividades 2,Plan de Actividades de 2° grado,https://drive.google.com/file/d/1HKWnnAg12gZDsuhKQBv53o_2ROLFvk7X/view,2020-05-10,#
94,Grado,2do,Archivo de Actividades 3,Plan de Actividades de 2° grado,https://drive.google.com/file/d/1HKWnnAg12gZDsuhKQBv53o_2ROLFvk7X/view,2020-05-10,#
95,Grado,2do,"Unidades, Decenas y Centenas",Unidades Decenas y Centenas,https://www.youtube.com/watch?v=7sIXLNw5jNw&feature=youtu.be,2020-05-10,#
96,Grado,2do,Actv del 5 al 8 de Mayo,Actividades del 5 al 8 de mayo,https://drive.google.com/file/d/1CYlUamLd0nRJI6EOtmrMgBOpIV0EGq82/view,2020-05-10,#
88,Musica,1ro,Clase 1,El tema es: Figura de negra,https://www.youtube.com/watch?v=La_-M5EH7PQ&feature=youtu.be,2020-05-10,#
89,Musica,1ro,Clase 2,El tema es: Figura de mitad o blanca,https://www.youtube.com/watch?v=1bZZGcdGq70&feature=youtu.be,2020-05-10,#
66,Grado,K3,Planeación de Actividades 4 al 8,https://drive.google.com/file/d/1r3pmWqUBdUox6l8SFNxG_uDOPunzxBln/view?usp=sharing,https://drive.google.com/file/d/13XtJEqCz5Uz5WIQpALD46rEh5D9_FHWw/view,2020-05-10,#
873,Grado,4to,16 de junio de 2020,Localizar puntos en el plano cartesiano,Plano cartrsiano,2020-06-16 16:33:04.440273,Plano cartrsiano
97,Ingles,2do,Ingreso al Classroom,Clave para accesar a la clase: 27mvtum,https://edu.google.com/intl/es-419/products/classroom/?modal_active=none ,2020-05-10,#
98,Ingles,2do,Lista de Videos de Youtube,Lista de videos en Youtube,https://www.youtube.com/playlist?list=PLqKajQNuMdXhW3wRTcrq2L9nuM00O7oH-,2020-05-10,#
99,Compu,2do,Clase 1,"(1,2,3) Introduccion Excel",https://www.youtube.com/watch?v=RpHFGEpaFvo&feature=youtu.be,2020-05-10,#
100,Compu,2do,Clase 2,"(1,2,3) Sumas y restas en excel",https://www.youtube.com/watch?v=ZJJ1SBhiYBg&feature=youtu.be,2020-05-10,#
101,Compu,2do,Clase 3,"Clase 3: Excel, resolucion de problemas",https://www.youtube.com/watch?v=tOK6ZBqiiMM&feature=youtu.be,2020-05-10,#
102,Artes,2do,Técnica de Cafe Soluble,Introducción y desarrollo Técnica de café soluble,https://www.youtube.com/watch?v=sGFd6BAmAe4,2020-05-10,#
103,Artes,2do,Cafe Soluble 2,Introducción y desarrollo Técnica de café soluble,https://www.youtube.com/watch?v=dWmEt5fdcr0,2020-05-10,#
104,Artes,2do,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
105,Artes,2do,Tintas de café,Tintas de café,https://www.youtube.com/watch?v=QW4wjHkI6BI&feature=youtu.be,2020-05-10,#
818,Grado,3ro,PLAN DE TRABAJO 8 AL 12 DE JUNIO ,"",https://drive.google.com/file/d/12KoOE5-oVHMWpT1nIyd7-622xsdAA92T/view?usp=sharing,2020-06-14 12:59:35.329347,https://drive.google.com/file/d/12KoOE5-oVHMWpT1nIyd7-622xsdAA92T/view?usp=sharing
108,Tae,2do,Actividad 1,Video Sobre diferentes Actividades Físicas (Estos Videos Se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
109,Grado,3ro,Clase 1,La Profesora Magdalena ha puesto a su disposición la siguiente guia de estudios para sus alumnos,https://drive.google.com/file/d/1scCRuAmS2wRy5HE4_ix5Pp3IEfG-nKk8/view,2020-05-10,#
110,Grado,3ro,Clase 2,La Profesora Magdalena ha puesto a su disposición la siguiente guia de estudios para sus alumnos ,https://drive.google.com/file/d/1BjZm27d6JKkjuSDS-QIc9FB3cA5RDSp2/view,2020-05-10,#
111,Grado,3ro,Clase 3,https://drive.google.com/file/d/1UPupjoDQj8BpRzCf98Gq03mPp_OnsbkU/view,https://drive.google.com/file/d/1EGgb_WXl_TGdsTP5b8OgyE_vPtKvdBrF/view,2020-05-10,#
112,Ingles,3ro,Lista de Videos,Lista de Videos de Youtube de 3° de primaria,https://www.youtube.com/playlist?list=PLqKajQNuMdXj_b6KPnVrLmaDHHLOxbdCn,2020-05-10,#
113,Compu,3ro,Clase 1,"(1,2,3) Introduccion Excel",https://www.youtube.com/watch?v=RpHFGEpaFvo&feature=youtu.be,2020-05-10,#
114,Compu,3ro,Clase 2,"(1,2,3) Sumas y restas en excel",https://www.youtube.com/watch?v=ZJJ1SBhiYBg&feature=youtu.be,2020-05-10,#
115,Artes,3ro,Técnica de tinta de café,Técnica de tinta de café,https://www.youtube.com/watch?v=ndzRazmecqI,2020-05-10,#
116,Artes,3ro,Técnica de tinta de café 2,Técnica de tinta de café 2,https://www.youtube.com/watch?v=s_kBRuqAZZI,2020-05-10,#
117,Artes,3ro,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
118,Artes,3ro,El circulo,El circulo,https://www.youtube.com/watch?v=UmoGIWDfmHk&feature=youtu.be,2020-05-10,#
121,Tae,3ro,Actividad 1,Video Sobre diferentes Actividades Físicas (Estos Videos Se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
122,Grado,4to,Clase 1,Lista de Reproducción del profesor Juan cervantes,https://www.youtube.com/channel/UC1K1qegend8QJiV0bsJpiGg,2020-05-10,#
836,Grado,5to,GEO- UNA  VENTANA  A  LAS  CULTURAS   Y LA LENGUA,Describe   las   diversas  expresiones  culturales relacionadas  con las  creencias  y la lengua,https://www.youtube.com/watch?v=Jvbu6ns5VD8,2020-06-15 10:02:59.675479,https://www.youtube.com/watch?v=Jvbu6ns5VD8
124,Grado,4to,"Clase 3 El poema, el verso y la Rima","El poema, el verso y la rima",https://www.youtube.com/watch?v=xfSQXAapyxA&feature=youtu.be,2020-05-10,#
125,Grado,4to,Clase 4 El Circulo,"Video '"El Circulo'"",https://www.youtube.com/watch?v=rIfx_j4kz_k&feature=youtu.be,2020-05-10,#
126,Grado,4to,Clase 5 (6 Mayo),"Video '"El Circulo'"",https://www.youtube.com/watch?v=Cc3bNvPFnM8&feature=youtu.be,2020-05-10,#
127,Grado,4to,"El poema, el verso y la Rima (2ª parte)","Clases para 4° El Poema, el verso y la rima 2da parte",https://www.youtube.com/watch?v=KJSfzgWOZk4&feature=youtu.be,2020-05-10,#
128,Ingles,4to,Acceso a Classroom,Clave para accesar a la clase: g5amygb,https://edu.google.com/intl/es-419/products/classroom/?modal_active=none ,2020-05-10,#
129,Ingles,4to,Lista de Videos,Lista de videos en Youtube,https://www.youtube.com/playlist?list=PLqKajQNuMdXjuUnEMymnULbellQqg1MEg,2020-05-10,#
130,Compu,4to,Clase 1,(4y5) Ejercicios de Geogebra,https://www.youtube.com/watch?v=ywsRyBiLh4Y&feature=youtu.be,2020-05-10,#
131,Compu,4to,Clase 2,(4°y5°) Figuras 3D,https://www.youtube.com/watch?v=McMbf82OXb4&feature=youtu.be,2020-05-10,#
132,Compu,4to,Clase 3,Clase 3: Prismas Geogebra y Excel,https://www.youtube.com/watch?v=Tv4-qj9h_HQ&feature=youtu.be,2020-05-10,#
133,Artes,4to,Paisaje de Plastilina,Clase 4to año paisaje de plastilina,https://www.youtube.com/watch?v=Wt5nj_gD1bE&t=9s,2020-05-10,#
134,Artes,4to,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
135,Artes,4to,Las Emociones,Las Emociones,https://www.youtube.com/watch?v=Yf0AzCBM1JM&feature=youtu.be,2020-05-10,#
138,Tae,4to,Actividad 1,Video Sobre diferentes Actividades Físicas (Estos videos se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
139,Grado,5to,Clase 1,Tema: Sucesiones Numéricas 1,https://www.youtube.com/watch?v=rkqlbz7LiaY&feature=youtu.be,2020-05-10,#
140,Grado,5to,Clase 2,Tema: Sucesión de figuras,https://www.youtube.com/watch?v=NHNrx6oTLWM&feature=youtu.be,2020-05-10,#
141,Grado,5to,Clase 3,Tema: Reconstrucción del relato histórico,https://www.youtube.com/watch?v=rLEDAaeXuqQ&feature=youtu.be,2020-05-10,#
277,Grado,6to,Clase ,24 de abril,https://youtu.be/iK4R6b7pHlw,2020-05-12,https://youtu.be/iK4R6b7pHlw
106,Musica,2do,Clase 1,El tema es: Instrumentos membranófonos,https://www.youtube.com/watch?v=WAYdCOtNIbA&feature=youtu.be,2020-05-10,#
119,Musica,3ro,Clase 1,El tema es: Familias instrumentales,https://www.youtube.com/watch?v=xBbhazl094Y&feature=youtu.be,2020-05-10,#
120,Musica,3ro,Clase 2,El tema es: Digitación de notas,https://www.youtube.com/watch?v=2q22_LKQ594&feature=youtu.be,2020-05-10,#
136,Musica,4to,Clase 1,El tema es: Escritura musical,https://www.youtube.com/watch?v=lx1hGg-B6yU&feature=youtu.be,2020-05-10,#
137,Musica,4to,Clase 2,El tema es: La polifonía,https://www.youtube.com/watch?v=Wsjj59ADKzw&feature=youtu.be,2020-05-10,#
142,Grado,5to,Clase 4,Tema: Reconstrucción del relato histórico (Continuacion),https://www.youtube.com/watch?v=TIAykU0waIw&feature=youtu.be,2020-05-10,#
143,Grado,5to,Clase 5,Tema: Lectura de un texto Quinto grado Jaffany Meza Z.,https://www.youtube.com/watch?v=s3n__inYZBg&feature=youtu.be,2020-05-10,#
144,Grado,5to,Clase 6,Tema: Construcción de un libro para publicar un relato ,https://www.youtube.com/watch?v=vL489xDoI8w&feature=youtu.be,2020-05-10,#
145,Grado,5to,Clase 6,Tema: Construcción de un libro para publicar un relato ,https://www.youtube.com/watch?v=vL489xDoI8w&feature=youtu.be,2020-05-10,#
146,Grado,5to,Clase 7,Tema: Construcción de prismas ,https://www.youtube.com/watch?v=tGHGfFCPEwc&feature=youtu.be,2020-05-10,#
147,Grado,5to,Clase 8,Tema: De los caudillos a las instituciones (1910-1920) ,https://www.youtube.com/watch?v=AO-U6Meicvk&feature=youtu.be,2020-05-10,#
148,Grado,5to,Clase 9,Tema: El centímetro y el metro cuadrado ,https://www.youtube.com/watch?v=-VOrE2bHOCY&feature=youtu.be,2020-05-10,#
149,Grado,5to,Clase 10,Tema: Resolución de problema ,https://www.youtube.com/watch?v=dbHXqoOUuUY&feature=youtu.be,2020-05-10,#
150,Grado,5to,Clase 11,Tema: Resolución de problema ,https://www.youtube.com/watch?v=dbHXqoOUuUY&feature=youtu.be,2020-05-10,#
151,Grado,5to,Clase 12,La historieta,https://www.youtube.com/watch?v=MWqblq50H_I&feature=youtu.be,2020-05-10,#
152,Grado,5to,Clase 13,Desafío 82,https://www.youtube.com/watch?v=ecdNFvorQLc&feature=youtu.be,2020-05-10,#
153,Grado,5to,Material,Link: https://drive.google.com/file/d/1VNief_EudOdPWL2cDTwkCdu8tjZ4P5oQ/view,https://drive.google.com/file/d/15Ve_tDEF8uocx90y5jT6hxdAGPQBY6BQ/view,2020-05-10,#
154,Ingles,5to,Ingreso al Clasroom,Clave para accesar a la clase: ingwh4d,https://edu.google.com/intl/es-419/products/classroom/?modal_active=none,2020-05-10,#
155,Ingles,5to,Lista de Videos,Lista de Videos de Youtube de 5°,https://www.youtube.com/playlist?list=PLqKajQNuMdXhONmgNrsgfMtD8dBkZPEM-,2020-05-10,#
157,Compu,5to,Clase 2,(4°y5°) Figuras 3D,https://www.youtube.com/watch?v=McMbf82OXb4&feature=youtu.be,2020-05-10,#
123,Grado,4to,Clase 2 Áreas,Video de Áreas,https://www.youtube.com/watch?v=R6kfGGqHhhs&feature=youtu.be,2020-05-10,#
156,Compu,5to,Clase 1,(4y5) Ejercicios de Geogebra,https://drive.google.com/file/d/15PHX9Sj0i8ms0HuRjSqy9Z8ULMePn42a/view,2020-05-10,#
158,Compu,5to,Clase 3,Clase 3: Prismas Geogebra y Excel,https://www.youtube.com/watch?v=Tv4-qj9h_HQ&feature=youtu.be,2020-05-10,#
159,Artes,5to,Máscara,Clase 5to mascara,https://www.youtube.com/watch?v=Q6__kP_2uDg&t=6s,2020-05-10,#
160,Artes,5to,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
161,Artes,5to,Mosaico,Mosaico,https://www.youtube.com/watch?v=0wu58Mrob-I&feature=youtu.be,2020-05-10,#
164,Musica,5to,Actividad 1,Video Sobre diferentes Actividades Físicas (Estos Videos Se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
165,Grado,6to,Clase 1,Clase del 24 de Abril,https://www.youtube.com/watch?v=iK4R6b7pHlw&feature=youtu.be,2020-05-10,#
166,Grado,6to,Clase 2 Videollamada Zoom,https://drive.google.com/file/d/16ZJkAugrxzqypr-1VR9FLcW1zx8ougbe/view?usp=drivesdk,Clase Videollamada Zoom,2020-05-10,#
168,Grado,6to,Clase 3,Clase 27 Abril,https://onedrive.live.com/?authkey=%21AF8Ihj1eJfKqO9Y&cid=699BD1D00975C7E6&id=699BD1D00975C7E6%21670&parId=699BD1D00975C7E6%21285&o=OneUp,2020-05-10,#
169,Grado,6to,Actividades,Actividades,https://drive.google.com/file/d/1f3dDhwiCqW99o9aE6IFNKiFCRy__vI0q/view,2020-05-10,#
170,Grado,6to,Clase 4,Los poemas,https://onedrive.live.com/?authkey=%21ABrYzhWN6QN4mz8&cid=699BD1D00975C7E6&id=699BD1D00975C7E6%21674&parId=699BD1D00975C7E6%21285&o=OneUp,2020-05-10,#
